WORKCENTER,WEEK_ENDING,WKOR_PRODUCT_CODE,SumOfstdhours,SumOfOThours,SumOfdthrs,SumOftotalhrs,comp_work,PTB,defects,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,totrwkhrs,total_def_cost
J0045305,2019/01/19,BW,104.4,20.9,3.5,128.8,,0,,,,,,
J0045305,2019/01/19,MD,29.4,17.5,1.6,48.5,,0,,,,,,
J0045305,2019/01/19,MG,6.4,11.3,5.7,23.4,,0,,,,,,
J0045305,2019/01/19,WA,1,2.7,0,3.7,,0,,,,,,
J0045305,2019/01/19,WM,134.5,8.3,26.6,169.4,,0,,,,,,
J0045305,2019/01/26,BC,14,0,0,14,,0,,,,,,
J0045305,2019/01/26,BW,101,27.3,3.7,132,0.25,0.19%,,,,,,
J0045305,2019/01/26,MD,19.1,8.2,11.1,38.4,2,5.21%,,,,,,
J0045305,2019/01/26,MG,10.9,1.5,0,12.4,,0,,,,,,
J0045305,2019/01/26,WA,5.2,0.8,0,6,,0,,,,,,
J0045305,2019/01/26,WM,141.5,24.6,24.4,190.5,,0,,,,,,
J0045305,2019/02/02,BC,25.1,2.4,3.4,30.9,,0,,,,,,
J0045305,2019/02/02,BV,0.2,0,0,0.2,,0,,,,,,
J0045305,2019/02/02,BW,100.3,17,13.3,130.6,,0,,,,,,
J0045305,2019/02/02,MD,8.8,4.6,6.3,19.7,,0,,,,,,
J0045305,2019/02/02,MG,32.5,6,3.4,41.9,,0,,,,,,
J0045305,2019/02/02,WA,1.1,0,0,1.1,,0,,,,,,
J0045305,2019/02/02,WM,109.6,28.8,5.1,143.5,,0,,,,,,
J0045305,2019/02/09,BC,10.3,0,3.7,14,,0,,,,,,
J0045305,2019/02/09,BW,106.1,19.2,9.7,135,0.25,0.19%,,,,,,
J0045305,2019/02/09,MD,7.4,3.6,6.3,17.3,,0,,,,,,
J0045305,2019/02/09,MG,29.1,1.1,3.7,33.9,,0,,,,,,
J0045305,2019/02/09,WM,97.1,15.9,7.9,120.9,,0,,,,,,
J0045305,2019/02/16,BC,15.5,1.5,5.1,22.1,,0,,,,,,
J0045305,2019/02/16,BV,0.2,0,0,0.2,,0,,,,,,
J0045305,2019/02/16,BW,124.4,15.2,2.1,141.7,,0,,,,,,
J0045305,2019/02/16,MD,21.2,3,0,24.2,2,8.26%,,,,,,
J0045305,2019/02/16,MG,10.8,0.2,0,11,,0,,,,,,
J0045305,2019/02/16,WA,3.1,0,0,3.1,,0,,,,,,
J0045305,2019/02/16,WM,92.6,4.8,4.5,101.9,,0,,,,,,
J0045305,2019/02/23,BC,20.2,0,0,20.2,,0,,,,,,
J0045305,2019/02/23,BW,136.3,16.5,17.5,170.3,,0,,,,,,
J0045305,2019/02/23,MD,27.4,4.1,2.2,33.7,,0,,,,,,
J0045305,2019/02/23,MG,58.2,0.3,4.5,63,,0,,,,,,
J0045305,2019/02/23,WM,49.3,17.8,6,73.1,,0,,,,,,
J0045305,2019/03/02,BC,28.3,0,0,28.3,,0,,,,,,
J0045305,2019/03/02,BV,8.2,0,0,8.2,,0,,,,,,
J0045305,2019/03/02,BW,84.5,12.9,12.3,109.7,,0,,,,,,
J0045305,2019/03/02,MD,31.4,9.4,4.7,45.5,2,4.40%,,,,,,
J0045305,2019/03/02,MG,6.2,0,0.7,6.9,,0,,,,,,
J0045305,2019/03/02,WM,107.3,22.1,13.7,143.1,,0,,,,,,
J0045305,2019/03/09,BC,37,4.5,6.3,47.8,,0,,,,,,
J0045305,2019/03/09,BV,0.1,0,0,0.1,,0,,,,,,
